[2026-09-08 14:47:16] Pixsel__Eymen | olu gruptan nıye cıktın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:05:24] dijitaltotofan | nasıl takıma yazıyom | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 01:06:11] bosluk1 | kactan alıon kk | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:08:24] maceswap | hangi büyüler var | enyakin=buyu-masasi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 01:11:25] KadirHB | sen köylülerin halini gördün mü ki | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:14:42] maceswap | teşekkürler kır 3 ne kadar olur en son | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:17:14] KadirHB | pahalı dedin ya? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:22:32] KadirHB | büyü kitabı alacak var mı | enyakin=buyu-masasi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 01:36:45] ShinyDart7444 | takımlaşacak var mi | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 01:40:57] EightEmo | nasıl gidebilirim dünyaya | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:41:30] EightEmo | beyler dünyaya nasıl gidebilirim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:42:22] EightEmo | beraber kasılacak var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:44:07] EightEmo | yaş kaç biladerim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:44:23] EightEmo | harbi mi diyorsun lan | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:47:34] LaterStorm47548 | nasıl gelicez | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:50:27] EightEmo | gençler iyi build bilen var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:53:06] ShinyDart7444 | abe Dexter gelsin mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:53:12] LaterStorm47548 | ark nasıl eklioz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:53:15] EightEmo | dexter sen kasıldın mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:55:48] EightEmo | ömer cano köy var mı buralarda | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:58:17] EightEmo | admin yok mu bu serverda bilader | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:58:17] ShinyDart7444 | bunlar nasi nick | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 01:59:37] EightEmo | nasıl tp atacaktı bebe ömer yazsana bi | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 02:01:57] EightEmo | bizim bebeler nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:03:05] EightEmo | later stormda senle değil mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:03:31] EightEmo | allah allah yeni mi bu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:04:20] EightEmo | benim çar bozuldu cano neden acaba | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:06:50] EightEmo | dexter inelim mi cano buraya ne diyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:07:41] Dexter97401 | bizde satak mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:09:54] EightEmo | dexter bunlar para mı ediyo şimdi gadaşım | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 02:10:34] EightEmo | niye kasıyoz olum o zaman | enyakin=olunce-esya puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 02:11:24] Dexter97401 | event kasası nası açıonuz | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 02:14:13] LaterStorm47548 | nereden ark eklioz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:15:29] LaterStorm47548 | nerden kabul ediom | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:16:43] Dexter97401 | ta nerdeyim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:19:30] Dexter97401 | knk sana abi diom ama senin yaş kaç | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:24:17] ShinyDart7444 | totem Alcan mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:24:23] OverLord | ne kadar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:24:43] OverLord | totem 3k mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:24:47] ShinyDart7444 | olmaz mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:24:57] ShinyDart7444 | normald kac | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:25:04] ShinyDart7444 | 5 değil mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:30:14] ShinyDart7444 | balta var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:31:15] ShinyDart7444 | balta var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 02:58:43] Taylor | nasıl başka dünyaya geççez | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:06:22] Taylor | da nasıl alcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:06:26] Taylor | nasıl alcan | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:13:29] Taylor | yaşın kaç senin kk | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:14:40] Taylor | hangi site | enyakin=site-kredi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 03:15:58] Taylor | kaç kez karşıma geldi benim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:16:18] Taylor | eline vermiştim onun bi kaç kez | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:37:24] M_SPOWER2204 | ne zaman tp atcan | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 03:43:36] M_SPOWER2204 | nasi silinio la | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:47:54] M_SPOWER2204 | ben nasi yanima gelmen icin istek atıldıgini bilmiom ki | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:49:16] Anume4613 | burayi nasi buldun | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:49:34] Anume4613 | portaldan mi girdin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:50:34] M_SPOWER2204 | nasi cekilio | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:50:52] Anume4613 | benim mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:52:10] M_SPOWER2204 | efe nasi isinlicamm seni yanima | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:52:31] Anume4613 | Orjin mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:53:13] Anume4613 | niye java | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:53:24] Anume4613 | niye tabela | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:56:22] Anume4613 | nasil ciakrmayi dusunuyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:58:41] Anume4613 | niye java onuda anlamadim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 03:59:41] Anume4613 | niye ekl3nmiyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 04:02:44] Anume4613 | labunu nasi yaptin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 04:03:48] Taylor | bi yere nasıl spawnpoint apcam | enyakin=spawn-warp puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 04:11:59] Oguzz | elitra mı arıyonuz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 04:13:06] M_SPOWER2204 | dupe mi yapicaz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 04:17:34] Oguzz | bitane vurim mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 04:25:04] Anume4613 | silahim nasi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 04:26:52] Anume4613 | ya bu ejderha niye bana target | enyakin=end-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 04:42:28] Oguzz | örümcek adam izlediniz mi yeni filminmi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 04:46:52] Oguzz | sizce marveldeki en güçlü karkater kim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 04:46:55] Oguzz | bilen var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 04:59:12] Oguzz | beyler uykunuz yok mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 05:06:26] Oguzz | beyler sizin yaşlar kaç | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 05:07:45] Oguzz | hangi ay hangi gün | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 05:18:49] Anume4613 | bu f16 mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 05:25:47] Anume4613 | sen nerde doguyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 05:28:26] M_SPOWER2204 | spawn hangi spawn | enyakin=spawn-warp puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 05:34:25] M_SPOWER2204 | olm buraya nasi geldik | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 05:35:18] M_SPOWER2204 | nasi geldik | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 05:50:57] M_SPOWER2204 | nasi gelcem base | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 05:51:19] M_SPOWER2204 | base nasi geliomm | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 05:54:52] Anume4613 | nereye gidiyoon laqn | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 06:04:13] MantarTe78105 | neden öyle diyon ozmn | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 07:17:02] apathyharbi | cpvp tierin kaç | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 07:17:52] apathyharbi | sen nasıl 4 oldun leyn | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 07:45:57] KURT0619 | kim patlattı lan benim basemi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 07:46:49] Ramazan6414 | hangi salak basesiji yukarı yapar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 07:50:03] Ramazan6414 | hangi enayi veriyor 1 stak | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 07:59:14] apathyharbi | aranızda elysi olan varmı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:10:16] Ordek_kral17 | kim oynuyo | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:12:36] Ordek_kral17 | apathyharbşi onu bana arkadaşım verdi neden yaptın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:13:03] apathyharbi | Ordek_kral17 sattım para atayım? | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 08:37:27] KURT0619 | kaç vurdugunu söyle | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:42:36] KURT0619 | Ordek_kral17 yaş kaç | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:45:21] KURT0619 | kaç lısın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:45:39] KURT0619 | kaç lısın Ordek_kral17 | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:46:02] KURT0619 | hangi ay | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:46:05] Ordek_kral17 | hangi ay | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:47:03] Ordek_kral17 | kueürt sen bu seti fln kimden aldın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:49:35] Ordek_kral17 | sen adminin mi arkadaşısın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:50:21] Ordek_kral17 | nasıl katılabilirim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:54:11] KeremQA_22 | örümcek gözü olan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:55:13] KURT0619 | kralım sizbi bana nasıl yap cagımı söyleyin ben ona göre yapcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:56:05] KURT0619 | kralım nasıl bi base yapım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 08:58:05] uras1098 | takıma gelebilirmiyim? | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 09:00:54] uras1098 | takımın varmı? | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 09:18:57] Swight | kaç tane getirim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 09:21:47] Ordek_kral17 | kurt tp mi kabul et | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 09:28:34] egemen1559 | neden boş | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 09:29:47] Ordek_kral17 | kralım pelerini nereden aldınız | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 09:31:43] Pixsel__Eymen | Ordek_kral17 sence büyüklük iyi mi knk | enyakin=buyu-masasi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 09:32:11] Ramazan6414 | ne kadar acınası bir velete kralım demek | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 09:34:31] Ramazan6414 | kac elmasın var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 09:38:34] ismailbaba46 | tamam ne zaman gelır | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 09:40:35] KURT0619 | gasp mı ediyonu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 09:42:10] Swight | farmı nereye kurıyım | enyakin=en-iyi-farm puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 09:42:25] KURT0619 | kaç vurdugunu söyle | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 09:45:12] Swight | farm nerye olcak | enyakin=en-iyi-farm puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 09:47:38] Dark | endde kim öldüyse nikaç eşyası var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 09:47:43] ismailbaba46 | elmas kac stp | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 09:49:52] KeremQA_22 | takıma alcak var mı beni | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 09:50:37] KeremQA_22 | takıma alcakk var mı 10 tane köylüm var hepsini zombidden çevirdim | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 09:51:17] egemen1559 | lan neden | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 09:55:36] KURT0619 | kaç vurdugunu soyle | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 09:57:04] Ramazan6414 | bana abi de tamam mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 09:57:24] Ordek_kral17 | eymen kaç elmasın var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 09:58:18] Ramazan6414 | koruma 4 mü | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:05:14] Ramazan6414 | dinamit tnt mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:09:35] Ramazan6414 | ben hem zenginim hemde fasfakirim bu nasıl oluyor aw | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 10:10:17] Ordek_kral17 | egemen kim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:10:23] ghostmean | nasıl cıkıcam kk | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:12:32] egemen1559 | ya bana niye vuruyosunuz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:14:13] egemen1559 | Eymen niye altıniminaldin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:14:13] ghostmean | katılamıyorum niyeee | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:17:53] emiralt12544 | sa globel satış yeri var mı item falan | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:18:43] ghostmean | nereyeee | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:19:28] KURT0619 | seker mi yapım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:27:00] Valentina186684 | hasan kaç verecen | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:27:22] maceswap | kim vuruyor | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:27:24] Swight | kurt kaç tane piston gerekiyo | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:31:58] Pixsel__Eymen | ya benım gunahım neydi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:33:34] egemen1559 | benim seçim nerde aw | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:33:36] KURT0619 | kim kesti | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:37:28] ghostmean | kk geliyom kabul et okmu? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:39:01] Ordek_kral17 | kurto lütfen tp mi kabul et knk | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 10:41:46] Ordek_kral17 | kurt setim nerde ve kıcım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:43:29] Ordek_kral17 | setimi kim aldı lannnn | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:45:41] Serkan_3793 | over net setin nerede | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:46:09] Serkan_3793 | öldün mü | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:50:52] Vexlera | bura survival mı | enyakin=orman-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 10:54:39] egemen1559 | ördek nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:55:10] egemen1559 | ödevin sandığı hangisi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:55:41] KeremQA_22 | elim nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 10:59:11] leleoluk | net olur serkan kac tane net var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:03:19] Nedimboran06 | rehber nasi bisey alcaz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:03:40] OverLord | nedimboran kac k paran var | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 11:03:48] KeremQA_22 | takim olcak var mı | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 11:03:51] MintTE | vc var arkadaş olcak var mi yeniyim | enyakin=oyuna-baslama puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 11:04:16] maceswap | kaç kalp gitti | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:04:28] OverLord | dur kılıc nasıl | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:04:36] OverLord | kac kalp | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:05:09] OverLord | kac kalp gitti | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:05:17] KURT0619 | neden soyuyodun bizi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:05:23] OverLord | o kadar vurdum saedece 4 mü KĞQJEFOQAPRF | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:05:38] KURT0619 | e esyaları niye çaldın or | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:05:47] OverLord | nasıl oldun | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:06:57] MuratRTX | spawndayım bana eşya verebilecek var mı | enyakin=spawn-warp puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 11:10:10] OverLord | 2 stek elmasla koruma 2 kır 2 set satılırr ?? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:11:20] xWith | kimse beni sevmio muuuuuuuuuuu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:18:36] Nedimboran06 | ne gibi? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:22:00] xWith | en cok oyuncu öldürene kredi mi var | enyakin=site-kredi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 11:24:38] apathyharbi | arkadas olmak isteyen vramııı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:25:06] leleoluk | elt nasıl sablon basılır | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:28:27] xWith | geri vermeli mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:29:48] xWith | swap nereye gitti | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:33:04] OverLord | mace neden | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:35:16] maceswap | ölmen olmasın ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:37:28] OverLord | kılcı nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:37:47] OverLord | kılııcım nerde kes 4 | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:39:53] xWith | kılcıım nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:48:12] xxxmsl | over vs? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:48:53] egemen1559 | olm sen niye sürüyon çikiyon giriyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 11:49:33] Thandry | bu dünyanın seedinin bilinmesi yasak mı | enyakin=kurallar puan=2 sebep=SINYAL_ZAYIF
[2026-09-11 11:59:32] egemen1559 | kurt nereye gidiyor ya | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:02:10] OverLord | Vs atıyodyk neden yaparsın mesela ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:07:37] OverLord | evet noldu ?? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:07:43] Swight | with setin nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:07:55] Swight | kim öldürdü | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:08:17] Swight | bende bi kaç şey var gel verim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:09:38] AtahanTR01 | ev yeptımda burayı nasıl sahiplencem | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:09:55] YamiNoX00 | yap ? derken | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:10:26] AtahanTR01 | ev yeptım nasıl sahiplenecem | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:22:52] YamiNoX00 | en çok kazandıran farm ??????????? maceswap | enyakin=en-iyi-farm puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 12:23:47] YamiNoX00 | bunlar rol mu yapıyor | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:24:58] ItzRealMusty | elytra satın alacak? | enyakin=site-kredi puan=2 sebep=SINYAL_ZAYIF
[2026-09-11 12:27:21] sevo_16 | cnm az kes tin mi? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:27:31] ahmetinyo544 | kim attı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:29:38] YamiNoX00 | ai ya nasıl soru sorcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:30:01] sevo_16 | nerdesin? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:40:43] Ordek_kral17 | kim oynuyo | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:44:22] sevo_16 | ğvğ atak mı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:44:37] sevo_16 | pvp atak mı? | enyakin=savas-etiketi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 12:45:11] Ordek_kral17 | arklar settim nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:46:15] sevo_16 | sonsuz türk pvp atak mı? | enyakin=savas-etiketi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 12:46:30] sevo_16 | pvp ata mı? | enyakin=savas-etiketi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 12:46:57] sevo_16 | olum bi pvp atak mı? | enyakin=olunce-esya puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 12:47:31] sevo_16 | pvp atak mı? | enyakin=savas-etiketi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 12:48:13] ItzRealMusty | şeker kamışı satan? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:48:24] sevo_16 | pvp atak mı? | enyakin=savas-etiketi puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 12:51:06] sevo_16 | napıonuz? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 12:51:31] sevo_16 | demiri mi istiion | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 13:13:00] AtahanTR01 | oyuna yeni başladın nasıl 13.000 paran var🤔 | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 13:14:23] LursszGTG | ağaçlar nerede | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 13:15:04] AtahanTR01 | nasıl yeni başlayarak 13 k paran var | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 13:15:41] AyiBogan064 | güzel mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 13:15:43] adala7 | end çubuğunu nerden buldun | enyakin=end-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 13:17:42] AyiBogan064 | gidem mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 13:20:18] AyiBogan064 | ortak mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 13:23:58] EnsignSign31409 | bize niye söylüyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 13:29:59] LursszGTG | olm ağacı nereden kıracam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 13:30:29] AtahanTR01 | nedeeeeeeeeennnnnnnn | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 13:31:36] AtahanTR01 | olum lobideyim niye bana tp attın | enyakin=olunce-esya puan=1 sebep=SINYAL_ZAYIF
[2026-09-11 13:33:15] AyiBogan064 | sen niye karınca tüneli gibi yaptın amk | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 13:34:27] AyiBogan064 | 64 kırık taş var mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 13:37:35] ahmetinyo544 | kac tane vardı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 13:39:43] ahmetinyo544 | kac lira | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-11 13:44:55] AyiBogan064 | vercen mi | enyakin=- puan=0 sebep=ESLESME_YOK
