[2026-08-31 20:46:29] OYUN | OnlyVan: merhaba -> Merhaba! Knight Network'e hoş geldin. Sana nasıl yardımcı olabilirim? [CACHE]
[2026-09-10 21:42:56] OYUN | RaconEmir: levelim düştü neden -> Seviye puanın bir oyuncunun elinden öldüğün için -50, mob, düşme veya lav gibi sebeplerle öldüğün için -15 puan kaybettiğin için düşmüş olabilir. Ayrıca 24 saatten uzun süre giriş yapmadıysan her gün toplam puanının %2'si erir. Ancak çıktığın her 10'luk dilim (örneğin 60, 70 gibi) kalıcı olarak kilitlenir, o dilimin altına inmezsin.
[2026-09-10 21:44:44] OYUN | adala7: madenler ne zaman sıfırlanıyor -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-10 22:32:23] OYUN | Barlas93: Bot 1 günde 20 stek elmas kastım galiba Mental yorgunluk geçirdim ya şiş süs sjs -> Vay be, 1 günde 20 stack elmascık ciddi emek istemiş doğrusu! Yalnız elmasları tek sandıkta toplama sakın, üssünü de spawn'dan uzak ve gizli tutmayı unutma; LivaMC'de claim olmadığı için üssün basılabilir. En değerli eşyalarını güvenli olan ender sandıkta saklayabilirsin.
[2026-09-10 22:51:13] OYUN | Barlas93: Ya bir Kirilmazlik 3 yok AQ delircem sunucunun en en iyi setlerinden birini dizmek üzereyim Kirilmazlik eksik 1 tane -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-10 22:59:40] OYUN | OverLord: koordinatım nere -> Bu konuda elimde bilgi yok, oyun içi F3 tuşunu kullanarak koordinatlarını görebilirsin.
[2026-09-10 23:04:22] OYUN | AyiBogan064: göreve nasïl nether taşı veririm -> Günlük görevler her gün saat 00:00'da 3 rastgele eşya olarak belirlenir ve listede Nether taşı varsa /gunlukgorev komutunu kullanarak teslim edebilirsin. Eğer o anki günlük görevlerde Nether taşı yoksa teslim edemezsin. Yeni görevler ve eşyalar her gece sıfırlanır.
[2026-09-10 23:04:56] OYUN | AyiBogan064: günlük göreve eşya nasıl verilir -> Günlük görevleri tamamlamak için topladığın eşyaları /gunlukgorev komutunu yazarak açılan ekrandan satabilirsin. Sattıkça ilerlemen artar ve görevi bitirdiğinde ödül sandığın açılır.
[2026-09-10 23:12:55] OYUN | Barlas93: Ark olmadan 20 stek maden yaptım çoğunda Sunucu marketinden trink sattım Hem ama ark olmamasïndam dolayı Maden yaparken akıl sağlığım yok oldu nasıl ark bulabilirim -> LivaMC'de takım kurmak 100.000 TL'dir ancak yeni başladıysan mevcut bir takıma davet istemen daha mantıklıdır. Takımlara sadece davetle girilir; oyuncularla tanışıp onlardan /team invite ile davet isteyebilirsin. Takım kurmak istersen /team create komutunu kullanabilirsin, ayrıca /tc komutuyla takım sohbetine yazabilirsin.
[2026-09-10 23:16:11] OYUN | Dark: spawner kasası anahtarı nasıl alınır -> Spawner kasası anahtarını iki yolla alabilirsin. Mağazanın kristal bölümünden kristal ile satın alabilir ya da spawner kasasından çıkarabilirsin. Spawner kasası anahtarını doğrudan almak için kristal biriktirmen gerekir.
[2026-09-10 23:16:47] OYUN | Dark: kristallerimi nerde harcayabilirim -> Kristallerini mağazanın kristal bölümünden kasa anahtarları ve spawnerlar almak için harcayabilirsin. Bu eşyalar normal para ile satın alınamaz.
[2026-09-10 23:17:06] OYUN | Dark: mağazaya nasıl girebilirim -> Sunucu mağazasını açmak için oyuna girip /market komutunu yazabilirsin. VIP rütbeleri ve paketler için ise web sitemiz olan livamc.com adresini ziyaret edebilirsin.
[2026-09-10 23:18:06] OYUN | Dark: kristalimi nasıl arkadaşıma aktarabilririm -> Kristalini arkadaşına aktarmanın bir yolu yoktur, kristaller takas edilemez. Bu konuda elimde başka bir bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-10 23:36:37] OYUN | RaconEmir: ender incisi hazır ne demek -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-10 23:50:26] OYUN | Dark: afk iken nerde kasılabilirim -> AFK alanında durarak kristal kasabilirsin. Gitmek için /ewarp afk komutunu yazabilirsin. Alanda kaldığın sürece her dakika hesabına kristal eklenir.
[2026-09-10 23:56:09] OYUN | KeremQA_22: afk alanına nası giderim -> AFK alanına gitmek için /ewarp afk komutunu yazabilirsin. Orada durarak her dakika kristal kazanabilirsin.
[2026-09-10 23:57:02] OYUN | Dark: afk iken ne kadar sürede kristal kazanırım -> AFK alanında (/ewarp afk) her dakika hesabına kristal yazılır. Alanı terk edersen sayaç sıfırlanır, kazandığın miktar ise rütben yükseldikçe artar.
[2026-09-10 23:57:28] OYUN | Dark: her daika bir kristal mi -> Evet, AFK alanında geçirdiğin her dakika hesabına kristal yazılır. /ewarp afk komutuyla gidip kristal biriktirebilirsin; alandan çıkarsan sayaç sıfırlanır ve dakikada kazandığın miktar rütben yükseldikçe artar.
[2026-09-10 23:57:48] OYUN | Dark: rütbem nasıl yükselebilir -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 03:41:54] OYUN | M_SPOWER2204: birisini yanıma nasıl ışınlarım -> Başka bir oyuncuyu yanına ışınlamak için /tpa komutunu kullanabilirsin. Komutu yazarken /tpa oyuncuadi şeklinde yazman yeterlidir. Karşı taraf kabul ettiğinde yanına gelecektir.
[2026-09-11 03:42:26] OYUN | M_SPOWER2204: birisini yanıma nasıl çekerim -> Bir oyuncuyu yanına çekmek için /tpa (oyuncu adı) komutunu kullanabilirsin; karşı taraf kabul ederse yanına gelir. Eğer senin yanına ışınlanmasını istemiyorsan /tptoggle ile istekleri kapatabilirsin.
[2026-09-11 05:53:55] OYUN | MantarTe78105: başlangıç kit nasıl alcam -> /kit komutunu kullanarak rütbene uygun kitleri görüntülleyebilir ve alabilirsin. Yeni başladıysan önce /baslangic yazarak rehberi okuyabilirsin.
[2026-09-11 05:58:33] OYUN | MantarTe78105: kit ala bastım ama alacak yetkiniz yok diyo -> Bu hatayı alıyorsan seçtiğin kit için gereken rütbeye sahip değilsin demektir. /vip yazarak rütbelerine bakabilir veya /kit komutu ile sadece kendi rütbene uygun kitleri alabilirsin.
[2026-09-11 07:53:52] OYUN | KeremQA_22: zümrütün steak fiyatı kaça -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 09:11:27] OYUN | Dark: nasıl spawner kazanabilirim -> Spawner kazanmanın iki yolu vardır. Mağazanın kristal bölümünden kristal ile satın alabilir veya spawner kasasından çıkarabilirsin. Spawner kasası anahtarını da yine kristal ile alabilirsin.
[2026-09-11 09:12:06] OYUN | Dark: bahsettiğin anahtarı nereden alacağım -> Kasa anahtarını üç farklı yoldan alabilirsin. Her saat başı sunucudaki herkese ücretsiz anahtar dağıtılır, mağazanın kristal bölümünden kristal ile alabilirsin ya da /vote komutuyla oy vererek oy kasası anahtarı kazanabilirsin.
[2026-09-11 09:12:33] OYUN | Dark: nasıl spawner kasa anahtarı alabilirim -> Spawner kasa anahtarını mağazanın kristal bölümünden kristal ile satın alabilirsin. Kristal kazanmak için ise AFK alanına (/ewarp afk) gidebilirsin.
[2026-09-11 09:43:37] OYUN | Dark: istediğim zaman belirli bir yere tpalanmak için ne yapmalıyım -> Belirli bir yere tekrar ışınlanmak için /sethome ad komutu ile bulunduğun yeri kaydedebilirsin. Daha sonra kaydettiğin bu yere gitmek için /ev ad komutunu kullanabilirsin. Tüm evlerini görmek içinse /ev yazman yeterlidir.
[2026-09-11 09:44:07] OYUN | Dark: en fazla kaç tane evim olur -> Ev hakkın rütbene göre 1 ile 10 arasında değişiklik gösterir. Rütben yükseldikçe ev hakkın da artar.
[2026-09-11 09:50:40] OYUN | Thandry: nasıl elytrası olan end şehri bulurum -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 10:14:27] OYUN | Barlas93: Sana nasıl soru sorabilirim -> LivaMC Helper'a soru sormak için sohbet penceresine /sor komutunu yazman yeterlidir. Örneğin, /sor LivaMC nedir yazarak sorularını bana iletebilirsin.
[2026-09-11 10:30:39] OYUN | Barlas93: sence en hızlı Nasıl maden kademesini arttïrım? -> Madencilik seviye puanını en hızlı artırmak için en değerli madenleri kazmalısın. Kömür ve bakır 1 puan verirken, zümrüt 10, Ancient Debris ise tam 25 puan kazandırır. Seviyen yükseldikçe gece alacağın maaş da artar, o yüzden derinlere inip elmas ve Ancient Debris aramaya odaklanabilirsin.
[2026-09-11 11:34:29] OYUN | kisaparlementt: gay mısın -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin. LivaMC sunucusuyla ilgili sorularında sana yardımcı olmaktan mutluluk duyarım!
[2026-09-11 11:41:32] OYUN | Barlas93: sunucuda skill sistemi varmı -> Sunucumuzda klasik bir skill (yetenek) sistemi yok, ama yerine seviye sistemi var. Madencilik, mob avı ve oyuncu öldürerek seviye atlayabilir, her 10 seviyede ekstra kalp kazanabilirsin. Detaylar için /bilgi yazabilirsin.
[2026-09-11 11:49:22] OYUN | kisaparlementt: hangi manifest kızısın -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 11:50:37] OYUN | Thandry: bu dünyanın seedi ne -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 11:50:48] OYUN | Thandry: bu dünyanın seedi ne ve neden bilgi yok -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 12:30:35] OYUN | YamiNoX00: kristal kazanmanın en iyi yolu ne -> Kristal kazanmanın tek bir yolu vardır, o da spawn'daki AFK alanında durmaktır. /ewarp afk komutuyla gidip orada bekleyebilirsin, her dakika hesabına kristal eklenir. Rütben yükseldikçe dakikada kazandığın kristal miktarı da artar.
[2026-09-11 12:31:07] OYUN | YamiNoX00: rütbem nasıl yükselir -> LivaMC'de rütbeler sadece web sitesinden VIP satın alınarak yükseltilir ve oyun içinden elde edilemez. Detaylı bilgi ve avantajlar için /vip yazabilirsin.
[2026-09-11 12:51:08] OYUN | mdoruk: depo gibi bir şey varmı kodlar arasında -> Ender sandık tam olarak aradığın şeydir; kişiye özeldir ve içindeki eşyalar asla çalınamaz. En değerli eşyalarını orada saklamak en güvenli yoldur.
[2026-09-11 12:54:45] OYUN | mdoruk: bunda map yokmu -> LivaMC'de arazi koruma (claim) sistemi yoktur ve PvP her yerde açıktır.   Spawn bölgesinde yapı koruması vardır, ancak vahşi doğada harita tamamen açıktır ve üs basmak serbesttir. Üssünü gizli tutman ve spawn'dan uzağa kurman gerekir.
[2026-09-11 12:57:49] OYUN | mdoruk: bunda map yokmu -> LivaMC'de arazi koruma (claim) sistemi yoktur ve PvP her yerde açıktır.   Spawn bölgesinde yapı koruması vardır, ancak vahşi doğada harita tamamen açıktır ve üs basmak serbesttir. Üssünü gizli tutman ve spawn'dan uzağa kurman gerekir. [CACHE]
[2026-09-11 13:44:56] OYUN | Lyrox_TR: DAO burdamı -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 13:53:22] OYUN | ahmetinyo544: baltopda en zengin 3 kisi kin -> Bu bilgiyi oyun içinde /baltop komutunu yazarak anlık olarak görebilirsin.
[2026-09-11 13:53:50] OYUN | ahmetinyo544: hayır sen soyle baltop ilk 3 kim -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin. Oyunda en zengin oyuncuları görmek için /baltop komutunu yazabilirsin.
[2026-09-11 13:56:36] OYUN | ahmetinyo544: bu sunucu en iyi kacıncı suncu -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 13:57:13] OYUN | ahmetinyo544: ben kimim -> Sen LivaMC sunucusunda oynayan değerli bir oyuncusun. Sunucu hakkında merak ettiğin her konuda sana yardımcı olmak için buradayım.
[2026-09-11 13:57:35] OYUN | ahmetinyo544: sunucun rehberleri kim tab basılmıyo -> Yeni oyuncu rehberini okumak için oyunda /baslangic yazabilirsin. Komutlarda TAB tuşunun çalışmaması sunucu sürümünle ilgili bir durum olabilir, komutları elle tam yazarak deneyebilirsin.
[2026-09-11 14:38:35] OYUN | Merw4n: x ray serbet mi -> Hayır, X-Ray kullanmak kesinlikle yasaktır ve kalıcı yasaklama sebebidir. Sunucumuzda hile ve yasak modların kullanımı yasaktır.
[2026-09-11 14:38:41] OYUN | gmhkue: para nasıl kazanıır -> LivaMC'de para kazanmanın en hızlı ve sermaye istemeyen yolları günlük görevler ve sipariş panosudur. /gunlukgorev komutuyla her gün belirlenen eşyaları toplayıp satabilir, /order komutuyla da diğer oyuncuların açtığı talepleri karşılayarak para kazanabilirsin. Ayrıca açık artırma (/ah) üzerinden eşya satabilir, /market ile sunucu mağazasına satış yapabilir ve her gece 00:00'da hazineden seviyene göre maaş alabilirsin.
[2026-09-11 14:39:21] OYUN | Merw4n: ama arkadaşım bu suncuda xray kullanıyodu ve çalışıyodu -> LivaMC'de x-ray ve benzeri hileler kesinlikle yasaktır ve kalıcı yasaklama sebebidir. Arkadaşın kullandıysa bile sistemlerimize takılmıştır veya bir yetkili tarafından fark edilip cezalandırılacaktır. Güvenliğin ve emeğin için hile kullanmamanı şiddetle tavsiye ederim.
[2026-09-11 14:45:36] OYUN | Merw4n: ben diğer hesabımda x ray ile elmas set oldum hiç ban yemedim -> Hile kullanmak LivaMC'de kalıcı yasaklama sebebidir. Diğer hesabın henüz yakalanmamış olması yakalanmayacağı anlamına gelmez. Hile veya yasak mod kullanımı tespit edildiğinde hesaplar kalıcı olarak banlanır.
[2026-09-11 14:48:15] OYUN | Merw4n: peki full bright modu yasak mı -> Full bright modu yasak değildir. OptiFine, Sodium, varlık göstermeyen minimap ve tuş göstergesi gibi modlar serbesttir.
[2026-09-11 14:55:38] OYUN | Merw4n: nasıl rütbe atlarız -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 15:00:43] OYUN | Merw4n: ben nasıl elmaslarımı satcam adum adım anlat -> Elmaslarını satmak için şu adımları izleyebilirsin:  1. Elindeki elmasları satmak için /ah komutunu yazarak açık artırma pazarını aç. 2. /ah sell <fiyat> komutunu kullanarak elmasların için bir adet ve fiyat belirle ve satışa koy. 3. İstersen /order komutuyla diğer oyuncuların açtığı siparişlere bakıp, elmas arayan birine doğrudan teslim edebilirsin. 4. Eşyaların satıldığında para otomatik olarak hesabına geçer ve satıştan sadece %5 vergi kesilir.
[2026-09-11 15:01:10] OYUN | Merw4n: peki aniden satamıyomuyum -> Eşyalarını hemen satmak istiyorsan açık artırma sistemi olan /ah komutunu kullanabilirsin. Elindeki eşyayı /ah sell ve fiyat yazarak anında satışa koyabilirsin, isteyen oyuncu hemen satın alabilir. Sunucu mağazası (/market) üzerinden de bazı eşyaları doğrudan satabilirsin.
[2026-09-11 15:01:24] OYUN | ahmetinyo544: ahmet en iyisi desene -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 15:08:48] OYUN | Merw4n: para kazanmanın yollar .d -> Sunucumuzda para kazanmanın birçok yolu var, işte en hızlı yöntemler:  Günlük görevler için /gunlukgorev yazarak her gün belirlenen eşyaları satabilirsin; sermaye istemez ve çok etkilidir. Sipariş panosu için /order yazarak diğer oyuncuların taleplerini karşılayabilir ve anında para kazanabilirsin. Ayrıca açık artırma (/ah) ile eşyalarını satabilir, sunucu mağazasını (/market) kullanabilir ve her gece 00:00'da seviyene göre yatan gece maaşını alabilirsin. Madencilik ve mob avı yaparak seviyeni yükseltmek de gece maaşındaki payını artırır.
[2026-09-11 16:32:40] OYUN | mdoruk: bu sunucuda kilitsistemi varmı yanı benim table ile sandığa yaptığımda sadece ben açabiliyormuyum -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 17:17:51] OYUN | Dark: ganimet kasa nasıl alınır -> Kasaların anahtarlarını üç farklı yolla alabilirsin. Her saat başı sunucudaki herkese ücretsiz anahtar dağıtılır, mağazanın kristal bölümünden kristal ile anahtar satın alabilirsin veya sunucuya oy vererek oy kasası anahtarı kazanabilirsin.
[2026-09-11 17:24:41] OYUN | wwoizena7: para nasıl kazanılır -> Sunucuda para kazanmanın birkaç farklı yolu var. En hızlı yolları günlük görevleri tamamlamak için /gunlukgorev yazmak ve sipariş panosundaki talepleri karşılamak için /order komutunu kullanmaktır; ikisi de sermaye istemez. Ayrıca açık artırma (/ah) üzerinden eşya satabilir, sunucu mağazasına satış yapabilir veya her gece 00:00'da seviyene göre yatan gece maaşını alabilirsin.
[2026-09-11 17:29:56] OYUN | egemen1559: ses nasıl açılır -> Sunucumuzda mesafeye duyarlı sesli sohbet vardır ve ayrı bir program indirmen gerekmez. Yanındaki oyuncuları konuşurken duyarsın, uzaklaştıkça sesleri kısılır. Bu konuda elimde başka bir bilgi yok, takıldığın bir yer olursa Discord sunucumuzdan bir yetkiliye danışabilirsin.
[2026-09-11 17:30:14] OYUN | wwoizena7: sesli sohbet varmı -> Evet, mesafeye duyarlı sesli sohbet vardır. Yanındaki oyuncuyu duyarsın, uzaklaştıkça sesin kısılır ve ayrı bir program gerekmez.
[2026-09-11 17:30:58] OYUN | wwoizena7: sesli sohbet nasıl açılır -> Sunucumuzda mesafeye duyarlı sesli sohbet vardır ve yanındaki oyuncuyu duyarsın. Bu sistemi kullanmak için ayrı bir program indirmen gerekmez. Oyuna girdiğinde otomatik olarak çalışır.
[2026-09-11 17:35:56] OYUN | Barlas93: Maden kademesi yani böyle her seferinde 0.1 kat daha fazla kazandıran Şey varya onda en hızlı nasıl Arttırım -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 17:44:53] OYUN | BerkayTE3134: hasar alırken ender chesti açıp eşyalarımızı koyabiliyormuyuz -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 17:55:27] OYUN | selamdostim: naber -> Selam! İyiyim, sana nasıl yardımcı olabilirim? [CACHE]
[2026-09-11 18:15:22] OYUN | Ebuski: pvpyi istediğim kişiyle yapabiliyormuyum -> Evet, spawn ve pazaryeri dışındaki her yerde PvP açıktır ve vahşi doğada istediğin kişiyle kapışabilirsin. Ana dünya, Nether ve End'de PvP serbesttir.
[2026-09-11 18:29:43] OYUN | MehmetMC3667: gokada nedir -> Gökyüzü etkinliği, ormanın üzerinde havada beliren ve 20 dakika süren bir adadır. İçindeki ganimet için oyuncular birbirine girer ve süre bitince ada izsiz silinir. Konumu her seferinde rastgele belirlenir. Bu konuda elimde başka bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 19:34:36] OYUN | ahmetinyo544: metin okuyucu nasıl kapatılır -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 19:36:15] OYUN | DenizS27: napıcam -> LivaMC'ye hoş geldin! Hemen /baslangic yazarak rehberi okuyabilirsin. Sonra /rtporman ile vahşi doğaya ışınlanıp spawn'dan uzakta kendine gizli bir üs kurabilirsin. İlk parayı kazanmak için /gunlukgorev ve /order komutlarını kullanabilirsin.
[2026-09-11 20:54:47] OYUN | Barlas93: mantar biyomu base yapmak için iyi biryer bence -> Mantar biyomu, düşman mobların doğmaması sayesinde base yapmak için gerçekten güvenli ve harika bir yerdir. Üssünü spawn'dan uzak bir yere kurmayı ve koordinatlarını kimseyle paylaşmamayı unutma.
[2026-09-11 21:59:23] OYUN | Barlas93: spawner satın almak yerine madende spawner bulup ipeksi dokunuş ile onu alïrsak ne olur -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 22:07:54] OYUN | Dream: neden sunucuyu açtınız -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 22:40:40] OYUN | BerkayTE3134: klandan nası ayrılır -> Takımdan ayrılmak için /team leave komutunu yazabilirsin. Savaş etiketin varken takımdan ayrılamazsın, önce savaşın bitmesi gerekir.
[2026-09-11 23:48:00] OYUN | Barlas93: fena güçlendim şimdi napsam diye düşünüyorum -> Harika! Gücünü kanıtlamak için /rtporman ile vahşi doğaya gidip bir üs basabilir, /warp menüsünden kasaları açabilir veya saatlik /yaris etkinliklerine katılarak birinci olmaya çalışabilirsin. Tabii ki PvP'de rakiplerine meydan okumak da tamamen serbest!
[2026-09-11 23:48:48] OYUN | 06erenw06: insanların sattıklarını nasıl görcem -> Diğer oyuncuların sattığı eşyaları görmek için /ah komutunu yazarak açık artırma pazarını açabilirsin. Ayrıca spawn'daki pazaryerinde oyuncuların dükkânlarını gezebilir veya /order komutuyla sipariş panosuna bakabilirsin.
[2026-09-11 23:48:51] OYUN | Barlas93: Sunucu marketinden aldığım spawner ipe Mağaradan spawner alsam farkı me -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 23:48:53] OYUN | lonewolf: kendi dunyama nasıl donucem -> Kendi dünyana ya da ana meydana dönmek için /spawn yazabilirsin. Eğer kayıtlı evine dönmek istersen /ev komutunu kullanabilirsin.
[2026-09-11 23:58:23] OYUN | 06erenw06: 1 stack elmas ın ortalama fiyatı nekadar -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-11 23:59:14] OYUN | 06erenw06: bu ne yarısı nasıl katılıyoz sartlar neler -> Saatlik yarış her saat başı başlar ve ekranda geri sayım çubuğu görünür. Katılmak için sunucuda en az 3 oyuncu olması gerekir ve o anki görevi /yaris yazarak görebilirsin. Süre bitince en çok yapan birinci olur ve ödülü alır.
[2026-09-12 00:04:48] OYUN | 06erenw06: abi beni mese biyomuna atabilirmisin lütfen -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin. Ormanda rastgele bir yere gitmek için /rtporman komutunu kullanabilirsin.
[2026-09-12 00:05:29] OYUN | 06erenw06: sence nasıl biryere ev yapmalıyım -> Üssünü spawn'dan uzak bir yere kurmalısın çünkü sunucuda arazi koruma sistemi yoktur. Yer altına girip girişini kapatman, meşale veya patika izi bırakmaman ve koordinatlarını kimseye söylememen güvenliğin için çok önemlidir. Değerli eşyalarını ender sandıkta saklayabilirsin çünkü ender sandık çalınamaz.
[2026-09-12 00:05:57] OYUN | 06erenw06: yer altına yapıyım yani -> Evet, üssünü yer altına kurmak ve girişini kapatmak seni korumak için harika bir fikirdir. Spawn'dan uzakta olmaya ve koordinatlarını kimseyle paylaşmamaya dikkat etmelisin. Başka sorun olursa sorabilirsin.
[2026-09-12 00:06:14] OYUN | 06erenw06: spawnerler ne isie yarıyo -> Spawnerlar, önüne koyduğun mobun sürekli doğmasını sağlar. Bu sayede mob çiftliği kurarak kolayca eşya ve seviye puanı kasabilirsin. Spawnerları mağazanın kristal bölümünden kristal ile satın alarak veya spawner kasasından çıkararak elde edebilirsin.
[2026-09-12 00:07:08] OYUN | 06erenw06: beni yerin an altına spawnlyabilirmisin ev yapcam -> Ben seni doğrudan yerin altına ışınlayamam, ama /rtporman komutunu kullanarak ana dünyada rastgele bir noktaya ışınlanabilirsin. Oradan beğendiğin bir yere kazarak kendi yer altı üssünü kurabilirsin. Üssünü kurduktan sonra /sethome komutuyla evini kaydetmeyi unutma.
[2026-09-12 00:07:55] OYUN | 06erenw06: ben demir golem spawneri aldım diyelim nasıl kullanıcam -> Demir golem spawnerını yere yerleştirdikten sonra etrafında golem üretmeye başlar. Spawnerları mağazanın kristal bölümünden kristal ile veya spawner kasasından alabilirsin.
[2026-09-12 00:08:17] OYUN | 06erenw06: en iyi spawner hangisi -> Spawner kasasında domuz, inek, zombi, iskelet, creeper, örümcek, zombi piglin, blaze ve demir golem spawnerları bulunur. Hangi spawnerin en iyi olduğu senin ne aradığına bağlıdır; örneğin gelir için demir golem tercih edilebilir. Spawnerları mağazanın kristal bölümünden veya spawner kasasından elde edebilirsin.
[2026-09-12 00:11:04] OYUN | 06erenw06: bana event kasası verdi nasıl açacaöm -> Spawn bölgesindeki kasa alanına gidip elindeki anahtarla uygun kasaya sağ tıklayarak açabilirsin. Warp menüsünden Kasalar bölgesine ışınlanabilirsin.
[2026-09-12 00:16:17] OYUN | 06erenw06: cok iyi kazmalarla 4 4 block kılılıyomu -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-12 00:25:16] OYUN | 06erenw06: 300 para almak icin ne yapabilkrim -> Para kazanmak için günlük görevleri /gunlukgorev komutuyla yapabilir ya da sipariş panosunu /order kullanarak diğer oyuncuların taleplerini karşılayabilirsin. İkisi de sermaye istemez ve en hızlı para kazanma yollarıdır.
[2026-09-12 00:29:16] OYUN | WickedCufy: dünya x kaç -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-12 00:43:07] OYUN | lonewolf: dunyama ısınlanmak ıcın napıcam -> Dünyana dönmek veya vahşi doğaya ışınlanmak için komutları kullanabilirsin. Evine gitmek için /ev <ad> yazabilir, rastgele bir yere ışınlanmak içinse /rtporman, /rtpnether veya /rtpend komutlarını kullanabilirsin.
[2026-09-12 00:43:43] OYUN | lonewolf: kendı evıme nasıl ısınlanıcam -> Kayıtlı evine gitmek için /ev <ad> komutunu yazabilirsin. Ev listesini görmek ve yönetmek içinse sadece /ev yazarak menüyü açabilirsin. Yeni ev kaydetmek için /sethome <ad> komutunu kullanabilirsin.
[2026-09-12 00:44:14] OYUN | lonewolf: evımı nasıl kayıtr edıcem -> Evini kaydetmek için /sethome ad komutunu yazabilirsin. Sonra evine geri dönmek için /ev ad komutunu kullanabilirsin. Kayıtlı evlerini görmek için ise sadece /ev yazman yeterlidir.
[2026-09-12 00:44:59] OYUN | lonewolf: az once base yapıyordum yanlısılla ev komutunu gırdım ve buraya gerı geldım az oncekı baseme nasıl donucem kayıt etmemıstım -> Eğer /sethome ile evini kaydetmediysen ve oradan ayrıldıysan, maalesef o eski yerine doğrudan dönecek bir komutun yok. Bir dahaki sefere üssünü kurar kurmaz /sethome <ad> komutuyla kaydetmeyi unutma!
[2026-09-12 00:46:48] OYUN | lonewolf: dunyaya nasıl gııcem -> Rastgele bir dünyaya ışınlanmak için /rtp komutunu kullanabilirsin; ana dünya için /rtporman, Nether için /rtpnether ve End için /rtpend komutlarını yazabilirsin. İstersen Spawn'daki kürelere tıklayarak da vahşi doğaya gidebilirsin.
[2026-09-12 00:49:14] OYUN | LazUsagi61: neden itemler çok pahalı -> Sunucumuzda ekonomi tamamen oyuncu ticaretine dayalıdır. Fiyatlar yüksek geliyorsa günlük görevleri (/gunlukgorev) ve sipariş panosunu (/order) kullanarak sermaye istemeyen yollarla para kazanabilirsin.
[2026-09-12 00:50:23] OYUN | LazUsagi61: 1g ne -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-12 00:51:18] OYUN | KarincaYiyen339: elması. ah daki fiyatı nedir -> Açık artırmadaki (/ah) elmas fiyatları tamamen oyuncuların belirlediği serbest piyasaya bağlıdır, bu yüzden sabit bir fiyat yoktur. Anlık fiyatları görmek için oyunda /ah yazarak pazarı kontrol edebilirsin.
[2026-09-12 00:55:43] OYUN | 06erenw06: ben ev yaptım ne yazıcam -> Evini kaydetmek için /sethome [ad] komutunu yazmalısın; örneğin /sethome evim diyebilirsin. Sonra evine geri dönmek istediğinde /ev [ad] komutunu kullanabilirsin.
[2026-09-12 00:57:11] OYUN | 06erenw06: para karsılıgı is yapmak isitom ne yazca -> Sipariş panosunu açmak için /order komutunu yazabilirsin. Orada diğer oyuncuların açtığı talepleri karşılayarak para kazanabilirsin; bu yöntem sermaye istemez ve yeni başlayanlar için çok uygundur.
[2026-09-12 00:59:35] OYUN | 06erenw06: adam kesersem para gelirmi -> Adam kesmek sana doğrudan para kazandırmaz, ancak 25 seviye puanı kazandırır. Seviyen yükseldiği için gece 00:00'da hazineden alacağın maaş artar, böylece dolaylı yoldan kazancın büyür.
[2026-09-12 01:14:49] OYUN | 06erenw06: bana 15 20 tane kitaplık verebilirmsiin -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
